extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,foram_extract1_1,foram_extract2_1,foram_extract3_1,foram_extract4_1,foram_extract5_1,foram_extract6_1,pcrSV011,pcrSV012,pcrSV013,pcrSV014,foram_extract1_2,foram_extract4_2,foram_extract5_2,foram_extract6_2,foram_extract7_2,foram_extract8_2,foram_extract9_2,foram_extract10_2,foram_extract11_2,MP056A,MP056B,MP056C,MP057A,MP057B,MP057C
NBC.LAB.10606a,NBC.LAB.10696a,NBC.LAB.10691a,NBCLA10591a,NBC.LAB.10617a,NBC.LAB.10690a,NBC.LAB.10617a,NBC.LAB.10617b,NBC.LAB.10617c,negcontrolTM018_,NBC.LAB.10955,NBC.LAB.10819,NBC.LAB.10822,NBC.LAB.11036,extractionnegative1a,extractionnegative2a,extractionnegative3a,extractionnegative4a,extractionnegative5a,extractionnegative6a,NBC.LAB.11081a,NBC.LAB.11081b,NBC.LAB.11081c,extractionnegative1a,NBC.LAB.15332a,NBC.LAB.15277a,NBC.LAB.15283a,NBC.LAB.15352a,NBC.LAB.15252a,NBC.LAB.15282a,NBC.LAB.15255a,NBC.LAB.15238a,NBC.LAB.15237a,NBC.LAB.15237a,NBC.LAB.15237b,NBC.LAB.15237c,NBC.LAB.11081a,NBC.LAB.11081b,NBC.LAB.11081c
NBC.LAB.10606b,NBC.LAB.10696b,NBC.LAB.10691b,NBCLA10591b,NBC.LAB.10617b,NBC.LAB.10690b,NBC.LAB.10611a,NBC.LAB.10611b,NBC.LAB.10611c,NBC.LAB.10690a,NBC.LAB.10908,NBC.LAB.10867,NBC.LAB.10739,NBC.LAB.11044,extractionnegative1b,extractionnegative2b,extractionnegative3b,extractionnegative4b,extractionnegative5b,extractionnegative6b,NBC.LAB.11082a,NBC.LAB.11082b,NBC.LAB.11082c,extractionnegative1b,NBC.LAB.15335a,NBC.LAB.15281a,NBC.LAB.15285a,NBC.LAB.15353a,NBC.LAB.15253a,NBC.LAB.15299a,NBC.LAB.15256a,NBC.LAB.15242a,NBC.LAB.15239a,NBC.LAB.15245a,NBC.LAB.15245b,NBC.LAB.15245c,NBC.LAB.11153a,NBC.LAB.11153b,NBC.LAB.11153c
NBC.LAB.10606c,NBC.LAB.10696c,NBC.LAB.10691c,NBCLA10591c,NBC.LAB.10617c,NBC.LAB.10690c,NBC.LAB.10619a,NBC.LAB.10619b,NBC.LAB.10619c,NBC.LAB.10690b,NBC.LAB.10964,NBC.LAB.10828,NBC.LAB.10780,NBC.LAB.11068,extractionnegative1c,extractionnegative2c,extractionnegative3c,extractionnegative4c,extractionnegative5c,extractionnegative6c,NBC.LAB.11083a,NBC.LAB.11083b,NBC.LAB.11083c,extractionnegative1c,NBC.LAB.15336a,NBC.LAB.15303a,NBC.LAB.15287a,NBC.LAB.15357a,NBC.LAB.15254a,NBC.LAB.15302a,NBC.LAB.15257a,NBC.LAB.15243a,NBC.LAB.15240a,NBC.LAB.15253a,NBC.LAB.15253b,NBC.LAB.15253c,NBC.LAB.11169a,NBC.LAB.11169b,NBC.LAB.11169c
extract_neg1a,NBC.LAB.10664a,NBC.LAB.10666a,NBCLA10608a,NBC.LAB.10611a,extract_neg6a,NBC.LAB.10606a,NBC.LAB.10606b,NBC.LAB.10606c,NBC.LAB.10690c,NBC.LAB.10972,NBC.LAB.10836,NBC.LAB.10701,NBC.LAB.11076,NBC.LAB.11081a,NBC.LAB.11090a,NBC.LAB.11105a,NBC.LAB.11124a,NBC.LAB.11143a,NBC.LAB.11162a,NBC.LAB.11084a,NBC.LAB.11084b,NBC.LAB.11084c,extractionnegative2a,NBC.LAB.15337a,NBC.LAB.15306a,NBC.LAB.15288a,NBC.LAB.15360a,NBC.LAB.15261a,NBC.LAB.15304a,NBC.LAB.15262a,NBC.LAB.15244a,NBC.LAB.15241a,NBC.LAB.15261a,NBC.LAB.15261b,NBC.LAB.15261c,NBC.LAB.11082a,NBC.LAB.11082b,NBC.LAB.11082c
extract_neg1b,NBC.LAB.10664b,NBC.LAB.10666b,NBCLA10608b,NBC.LAB.10611b,extract_neg6b,NBC.LAB.10591a,NBC.LAB.10591b,NBC.LAB.10591c,NBC.LAB.10691a,NBC.LAB.10980,NBC.LAB.10845,NBC.LAB.10709,NBC.LAB.10991,NBC.LAB.11081b,NBC.LAB.11090b,NBC.LAB.11105b,NBC.LAB.11124b,NBC.LAB.11143b,NBC.LAB.11162b,NBC.LAB.11085a,NBC.LAB.11085b,NBC.LAB.11085c,extractionnegative2b,NBC.LAB.15338a,NBC.LAB.15322a,NBC.LAB.15289a,NBC.LAB.15361a,NBC.LAB.15263a,NBC.LAB.15305a,NBC.LAB.15264a,NBC.LAB.15245a,NBC.LAB.15247a,NBC.LAB.15269a,NBC.LAB.15269b,NBC.LAB.15269c,NBC.LAB.11154a,NBC.LAB.11154b,NBC.LAB.11154c
extract_neg1c,NBC.LAB.10664c,NBC.LAB.10666c,NBCLA10608c,NBC.LAB.10611c,extract_neg6c,NBC.LAB.10599a,NBC.LAB.10599b,NBC.LAB.10599c,NBC.LAB.10691b,NBC.LAB.10917,NBC.LAB.10853,NBC.LAB.10717,NBC.LAB.10999,NBC.LAB.11081c,NBC.LAB.11090c,NBC.LAB.11105c,NBC.LAB.11124c,NBC.LAB.11143c,NBC.LAB.11162c,NBC.LAB.11086a,NBC.LAB.11086b,NBC.LAB.11086c,extractionnegative2c,NBC.LAB.15342a,NBC.LAB.15327a,NBC.LAB.15290a,NBC.LAB.15362a,NBC.LAB.15272a,NBC.LAB.15307a,NBC.LAB.15265a,NBC.LAB.15246a,NBC.LAB.15249a,NBC.LAB.15277a,NBC.LAB.15277b,NBC.LAB.15277c,NBC.LAB.11170a,NBC.LAB.11170b,NBC.LAB.11170c
,extract_neg2a,extract_neg3a,NBCLA10609a,NBC.LAB.10619a,,NBC.LAB.10608a,NBC.LAB.10608b,NBC.LAB.10608c,NBC.LAB.10691c,NBC.LAB.10941,NBC.LAB.10822,NBC.LAB.10789,NBC.LAB.11072,NBC.LAB.11082a,NBC.LAB.11091a,NBC.LAB.11106a,NBC.LAB.11125a,NBC.LAB.11144a,NBC.LAB.11163a,NBC.LAB.11087a,NBC.LAB.11087b,NBC.LAB.11087c,extractionnegative3a,NBC.LAB.15344a,NBC.LAB.15329a,NBC.LAB.15291a,NBC.LAB.15363a,NBC.LAB.15273a,NBC.LAB.15308a,NBC.LAB.15266a,NBC.LAB.15248a,NBC.LAB.15258a,NBC.LAB.15285a,NBC.LAB.15285b,NBC.LAB.15285c,NBC.LAB.11083a,NBC.LAB.11083b,NBC.LAB.11083c
,extract_neg2b,extract_neg3b,NBCLA10609b,NBC.LAB.10619b,,NBC.LAB.10624a,NBC.LAB.10624b,NBC.LAB.10624c,NBC.LAB.10696a,NBC.LAB.10949,NBC.LAB.10863,NBC.LAB.10726,NBC.LAB.11073,NBC.LAB.11082b,NBC.LAB.11091b,NBC.LAB.11106b,NBC.LAB.11125b,NBC.LAB.11144b,NBC.LAB.11163b,NBC.LAB.11088a,NBC.LAB.11088b,NBC.LAB.11088c,extractionnegative3b,NBC.LAB.15345a,NBC.LAB.15331a,NBC.LAB.15292a,NBC.LAB.15364a,NBC.LAB.15274a,NBC.LAB.15309a,NBC.LAB.15317a,NBC.LAB.15250a,NBC.LAB.15259a,NBC.LAB.15293a,NBC.LAB.15293b,NBC.LAB.15293c,NBC.LAB.11155a,NBC.LAB.11155b,NBC.LAB.11155c
,extract_neg2c,extract_neg3c,NBCLA10609c,NBC.LAB.10619c,,NBC.LAB.10664a,NBC.LAB.10664b,NBC.LAB.10664c,NBC.LAB.10696b,NBC.LAB.10968,NBC.LAB.10840,NBC.LAB.10736,NBC.LAB.10994,NBC.LAB.11082c,NBC.LAB.11091c,NBC.LAB.11106c,NBC.LAB.11125c,NBC.LAB.11144c,NBC.LAB.11163c,NBC.LAB.11089a,NBC.LAB.11089b,NBC.LAB.11089c,extractionnegative3c,NBC.LAB.15332b,NBC.LAB.15350a,NBC.LAB.15293a,NBC.LAB.15365a,NBC.LAB.15275a,NBC.LAB.15310a,NBC.LAB.15318a,NBC.LAB.15251a,NBC.LAB.15260a,NBC.LAB.15301a,NBC.LAB.15301b,NBC.LAB.15301c,NBC.LAB.11171a,NBC.LAB.11171b,NBC.LAB.11171c
,,,extract_neg4a,NBC.LAB.10599a,,NBC.LAB.10609a,NBC.LAB.10609b,NBC.LAB.10609c,NBC.LAB.10696c,NBC.LAB.10976,NBC.LAB.10872,NBC.LAB.10744,negcontrolSV018_,NBC.LAB.11083a,NBC.LAB.11093a,NBC.LAB.11107a,NBC.LAB.11126a,NBC.LAB.11145a,NBC.LAB.11164a,NBC.LAB.11090a,NBC.LAB.11090b,NBC.LAB.11090c,extractionnegative4a,NBC.LAB.15335b,NBC.LAB.15358a,NBC.LAB.15294a,NBC.LAB.15367a,NBC.LAB.15276a,NBC.LAB.15311a,NBC.LAB.15319a,NBC.LAB.15268a,NBC.LAB.15269a,NBC.LAB.15309a,NBC.LAB.15309b,NBC.LAB.15309c,NBC.LAB.11084a,NBC.LAB.11084b,NBC.LAB.11084c
