"category","taxon","island","sample_code","water_depth._m","dist_coast_km","long","lat","substrate_type","sequencin_run","ESVs","Kindgom","Phylum","Class","Order","Family","Genus","Species","X.Identity.percentage","reads","pa","N","site_code"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_104","Eukaryota","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_sp.",85932,3277,1,66.4451427066193,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_113","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",87352,2218,1,44.9726354968818,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_116","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_lorenziana",85606,2610,1,52.9209101203162,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_118","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Opephoroidiella","Opephoroidiella_sp.",88213,1467,1,29.7452012055571,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_129","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",87747,5217,1,105.78099160831,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1359","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema_sp.",98479,1103,1,22.3646604837965,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1401","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_sp._Na28A1",98479,357,1,7.23860724634211,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_147","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_tenuissimus",99620,826,1,16.7481500993798,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1587","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_brevis",94297,850,1,17.2347791579574,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_159","Eukaryota","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_sp.",85606,2946,1,59.7337169404029,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1609","Eukaryota","Bacillariophyta","Fragilariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema_frauenfeldii",92776,924,1,18.7352187552384,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1636","Eukaryota","Bacillariophyta","Bacillariophyceae","Surirellales","Surirellaceae","Iconella","Iconella_cf._tenuissima",84962,315,1,6.38700639383127,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_171","Eukaryota","Bacillariophyta","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_minuscula",94318,3795,1,76.9482198875862,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_173","Eukaryota","Bacillariophyta","Bacillariophyceae","Achnanthales","Cocconeidaceae","Cocconeis","Cocconeis_cf._cupulifera",88973,624,1,12.6523555230181,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_185","Eukaryota","Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes","Achnanthes_sp.",86312,2496,1,50.6094220920725,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_186","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_tenuissimus",99240,273,1,5.53540554132043,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_198","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Corethrales","Corethraceae","Corethron","Corethron_hystrix",100000,1715,1,34.7737014775258,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_22","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia_delicatissima",85950,181004,1,3670.07525494932,"Badi_1"
