"category","taxon","island","sample_code","water_depth._m","dist_coast_km","long","lat","substrate_type","sequencin_run","ESVs","Kindgom","Phylum","Class","Order","Family","Genus","Species","X.Subject.accession","X.Identity.percentage","reads","pa","N","site_code"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1011","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","marine metagenome             ","CESW01064671",100,665,1,1.83192912656389,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1047","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","marine metagenome             ","AACY022099444",100,1056,1,2.90904835737062,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_107","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","HIMB11","marine metagenome             ","OCOZ01004190",100,718,1,1.97793250056071,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_108","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured Bacteroidetes bacterium            ","HM584222",100,1139,1,3.13769515061093,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_110","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","unidentified marine bacterioplankton            ","KC001836",100,6593,1,18.1622687690762,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_111","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","Candidatus Pelagibacter ubique            ","CVSN01000050",100,6158,1,16.9639391900457,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1126","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","Candidatus Marinimicrobia bacterium            ","PCDA01000016",100,444,1,1.22312260480356,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_113","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2bmarinegroup","marine metagenome             ","AACY023568381",100,7454,1,20.5341349013642,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_116","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","marine metagenome             ","CENY01074918",100,7151,1,19.699436367005,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1215","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","uncultured bacterium             ","EF573880",100,726,1,1.9999707456923,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_123","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116clade","unknowngenus","SAR116 cluster bacterium REDSEA-S10_B10N8           ","LUQE01000207",100,8356,1,23.0189470399516,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1239","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7clade","uncultured gamma proteobacterium            ","KF786659",97.849,631,1,1.73826658475461,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1249","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9marinegroup","unknowngenus","uncultured bacterium             ","JX864650",100,933,1,2.57021033847234,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1286","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae1","Alcanivorax","uncultured bacterium             ","FJ350460",99.732,908,1,2.5013408224361,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_136","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116clade","unknowngenus","marine metagenome             ","AACY020257759",100,4169,1,11.4846804942028,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_144","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","SAR86 cluster bacterium AG-390-O18           ","QCHF01000002",100,4463,1,12.2945860027889,"Badi_1"
